
Отбор:	Выпускающая кафедра Равно "Кафедра 305"
	
Выпускающая кафедра				
Год поступления				
УП	Статус разработки УП	Количество дисциплин	Количество дисциплин с РПД	Код УП
Теория функций комплексного переменного	Кафедра 804			
Лист переутверждения по "РП дисциплины "Теория функций комплексного переменного" 701, 702, 703, 704, 305 2017/18" (2018/19), 000040888	Утвержден			
Техническая диагностика измерительно-вычислительных комплексов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Техническая диагностика ИВК" каф.305, спец.24.05.05.С5 (2017/18)" (2018/19), 000045621	Утвержден			
Техническая механика	Кафедра 906			
РП дисциплины "Техническая механика", 000092068	Утвержден			
Технология изготовления приборов и систем	Кафедра 307			
Лист переутверждения по "РП дисциплины "Технология изготовления приборов и систем" 16 17 (Копия 25.06.2018 11:43:57 Хайрнасов К.З.)" (2018/19), 000044126	Утвержден			
Технология конструкционных материалов	Кафедра 903			
Лист переутверждения по "РП дисциплины "Технология конструкционных материалов"  " (2018/19), 000049609	Утвержден			
Управление подвижными объектами	Кафедра 305			
Лист переутверждения по "РП дисциплины "Управление подвижными объектами" (2017/18)" (2018/19), 000046229	Утвержден			
Учебно-исследовательская работа студентов	Кафедра 305			
Лист переутверждения по "РП дисциплины 2014/15 "Учебно-исследовательская работа студентов" (каф.303, спец. 24.05.05) (Белобжеский Л.А.)" (2018/19), 000043323	Утвержден			
Физика	Кафедра 801			
Лист переутверждения по "РП дисциплины Физика (11 ЗЕ)  " (2018/19), 000045593	Утвержден			
Физическая культура (спортивные секции)	Кафедра 519			
Лист переутверждения по "РП дисциплины "Физическая культура" " (2018/19), 000049472	Утвержден			
Физические и математические основы авиационной и космической техники	Кафедра 812			
РП дисциплины "Физические и математические основы авиационной и космической техники", 000115190	Утвержден			
Физические методы получения информации	Кафедра 305			
РП дисциплины "Физические методы получения информации", 000103829	Утвержден			
Философия	Кафедра 517			
Лист переутверждения по "РП дисциплины "Философия" очного специалитета по 24.05.05 (унификация)" (2018/19), 000039665	Утвержден			
Химия	Кафедра 908			
Лист переутверждения по "РП дисциплины "Химия" очного специалитета по 24.05.05" (2018/19), 000049406	Утвержден			
Цифровая обработка изображений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Цифровая обработка изображений" (2017/18)" (2018/19), 000044616	Утвержден			
Цифровые сети ИВК	Кафедра 305			
Лист переутверждения по "РП дисциплины "Цифровые сети ИВК" (2017/18)" (2018/19), 000044677	Утвержден			
Экология	Кафедра 614			
Лист переутверждения по "РП дисциплины "Экология"(24.05.05, к.305, 701-704)" (2018/19), 000040448	Утвержден			
Экономика	Кафедра 507			
Лист переутверждения по "РП дисциплины "Экономика"  (Копия 25.11.2017 15:33:52 Ермолаева М.Г.)" (2018/19), 000040477	Утвержден			
Экономика создания аэрокосмической техники	Кафедра 509			
Лист переутверждения по "РП дисциплины "Экономика создания аэрокосмической техники"     " (2018/19), 000046702	Утвержден			
Эффективность авиационных комплексов	Кафедра 703			
Лист переутверждения по "РП дисциплины "Эффективность авиационных комплексов" [24.05.05.C5] 16/17 (Копия 20.12.2017 14:39:13 Дьячук А.К.)" (2018/19), 000049323	Утвержден			
УП очного специалитета по 24.05.06-C13 "Измерительно-вычислительные комплекcы систем управления воздушно-космических ЛА" (каф.305) 2018/19	Утвержден	74	73	000015726
Алгоритм формирования сигналов в оптико-электронных приборах	Кафедра 305			
Лист переутверждения по "РП дисциплины "Алгоритм формирования сигналов в оптико-электронных приборах"" (2018/19), 000044608	Утвержден			
Алгоритмы измерительно-вычислительных комплексов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Алгоритмы измерительно-вычислительных комплексов" каф.305, спец. 24.05.06 (2017/18)" (2018/19), 000038538	Утвержден			
Базы и банки данных	Кафедра 305			
Лист переутверждения по "РП дисциплины "Базы и банки данных"  (спец-т 24.05.06, 6 сем, ИВК систем упр В-К ЛА, каф305 Белобжеский Л.А.) 17/18" (2018/19, 000038690	Утвержден			
Безопасность жизнедеятельности	Кафедра 614			
Лист переутверждения по "РП дисциплины "Безопасность жизнедеятельности" (каф 301, 305, 705Б  2017 спец-т Кабанов А.С.)   " (2018/19), 000040948	Утвержден			
Введение в специальность	Кафедра 305			
Лист переутверждения по "РП дисциплины "Введение в специальность" 2017/18 (Копия 09.07.2015 11:20:26 Соболев В.И.) (Копия 24.10.2017 23:16:33 Соболев , 000045418	Утвержден			
Гироскопические приборы	Кафедра 305			
Лист переутверждения по "РПД "Гироскопические приборы"  " (2018/19), 000040913	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
Лист переутверждения по "РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (очн. спец. 24.05.06.С13 каф. 303)" (2018/19), 000038820	Утвержден			
Дифференциальные уравнения	Кафедра 804			
Лист переутверждения по "РП дисциплины "Дифференциальные уравнения" 17/18 24.05.06 каф. 301, 305, 705б" (2018/19), 000040882	Утвержден			
Измерительные преобразователи	Кафедра 305			
Лист переутверждения по "РП дисциплины "Измерительные преобразователи" (Копия 08.07.2017 11:43:21 Захарян Р.Р.)" (2018/19), 000043359	Утвержден			
Инженерная и компьютерная графика	Кафедра 904			
Лист переутверждения по "РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А. (Копия 07.07.2015 13:49:07 Кожухова Е.А.)" (20, 000038646	Утвержден			
Иностранный язык	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык" оч.бак. по 24.05.06 ("Измерительно-вычислительные комплекcы систем управления воздушно-косми, 000050224	Утвержден			
Интеллектуализированные приборные комплексы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Интеллектуализированные приборные комплексы"" (2018/19), 000038567	Утвержден			
Информатика	Кафедра 304			
РП(18-19,24.05.06.C13)дисциплиныИнформатика, разр.каф.304(Силаева Т.А.), 000114417	Утвержден			
Информационно-статистическая теория измерений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Информационно-статистическая теория измерений"  2017/18ИВКСУВК ЛА (Копия 09.07.2015 13:05:57 Соболев В.И.) (Ко, 000045421	Утвержден			
Испытания измерительно-управляющих комплексов и их элементов	Кафедра 308			
Лист переутверждения по "РП дисциплины "Испытания измерительно-управляющих комплексов и их элементов" (Копия 28.06.2018 20:07:37 Склеймин Ю.Б.)" (2018, 000049007	Утвержден			
Испытания приборов и систем	Кафедра 305			
РПД "Испытания приборов и систем", 000106678	Утвержден			
История	Кафедра 518			
РП дисциплины "История", 000095015	Утвержден			
История культуры	Кафедра 518			
РП дисциплины "История культуры", 000095018	Утвержден			
Культурология	Кафедра 518			
РП дисциплины "Культурология", 000095017	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 812			
Лист переутверждения по "РП дисциплины "Линейная алгебра и аналитическая геометрия" по направлению 24.05.06 (2017/18)" (2018/19), 000037117	Утвержден			
Математический анализ	Кафедра 812			
Лист переутверждения по "РП дисциплины "Математический анализ" по направлению 24.05.06 (2017/18)" (2018/19), 000037125	Утвержден			
Материаловедение	Кафедра 903			
Лист переутверждения по "РП дисциплины "Материаловедение"  " (2018/19), 000045599	Утвержден			
Лист переутверждения по "РП дисциплины "Материаловедение" " (2018/19), 000045409	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 305			
Лист переутверждения по "РП дисциплины "Метрология, стандартизация и сертификация"" (2018/19), 000037953	Утвержден			
Лист переутверждения по "РП дисциплины "Метрология, Стандартизация и Сертификация"" (2018/19), 000038595	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах" (Копия 15.07.2015 20:05:32 Ушаков А.Н.) (Копия 19.06.2018 13:27:43 Ушаков , 000093558	Утвержден			
Моделирование систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Моделирование систем" (2017/18) " (2018/19), 000044610	Утвержден			
Моделирование, идентификация и оптимизация	Кафедра 305			
Лист переутверждения по "РП дисциплины "Моделирование, идентификация и оптимизация" ( 24.05.06-2017/18)" (2018/19), 000044611	Утвержден			
Надёжность измерительно-вычислительных комплексов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Надёжность измерительно-вычислительных комплексов" каф.305 спец.24.05.06.С13 (2017/18)" (2018/19), 000038540	Утвержден			
Основы автоматизированного проектирования	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы автоматизированного проектирования"" (2018/19), 000044123	Утвержден			
Основы конструирования приборов	Кафедра 906			
Лист переутверждения по "РП дисциплины "Основы конструирования приборов"" (2015/16), 000043039	Утвержден			
Основы менеджмента	Кафедра 501			
Лист переутверждения по "РП дисциплины "Основы менеджмента" очного специалитета по 24.05.06 (унификация) " (2018/19), 000042030	Утвержден			
Основы моделирования оптико-электронных устройств	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы моделирования оптико-электронных устройств"" (2018/19), 000044609	Утвержден			
Основы прикладной гидро- и аэродинамики	Кафедра 602			
Лист переутверждения по "РП дисциплины "Основы прикладной гидро- и аэродинамики" " (2018/19), 000043456	Утвержден			
Основы прикладной теории случайных процессов	Кафедра 305			
Лист переутверждения по "РПД "Основы прикладной теории случайных процессов" (2017/2018)" (2018/19), 000047508	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы теории пилотажно-навигационных систем"" (2018/19), 000038446	Утвержден			
Основы теории управления	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы теории управления" (очн. спец-т 24.05.06)" (2018/19), 000045423	Утвержден			
Политика и право	Кафедра 517			
Лист переутверждения по "РП дисциплины "Политика и право"" (2018/19), 000040069	Утвержден			
Политология	Кафедра 517			
Лист переутверждения по "РП дисциплины "Политология" " (2018/19), 000039565	Утвержден			
Правоведение	Кафедра 517			
Лист переутверждения по "РП дисциплины "Правоведение" очного специалитета по 24.05.06 (унификация)" (2018/19), 000043229	Утвержден			
Преддипломная практика	Кафедра 305			
Лист переутверждения по "РП практики "Преддипломная практика" (Копия 28.03.2018 12:26:27 Ушаков А.Н.) (Копия 28.03.2018 12:53:14 Ушаков А.Н.)" (2018/1, 000046173	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 305			
Лист переутверждения по "РП дисциплины "Приборы и датчики высотно- скоростных параметров"  13.10.2015 20:01:50 Захарян Р.Р.) (Копия 03.05.2017 18:31:0, 000038704	Утвержден			
Лист переутверждения по "РП дисциплины "Приборы и датчики высотно- скоростных параметров"  13.10.2015 20:01:50 Захарян Р.Р.)" (2018/19), 000038711	Утвержден			
Приборы и измерительно-вычислительные комплексы систем управления летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Приборы и измерительно-вычислительные комплексы систем управления летательных аппаратов" каф.305, спец.24.05.0, 000038539	Утвержден			
Проектирование приборных комплексов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Проектирование приборных комплексов" , кафедра 303 (Копия 16.04.2018 13:38:30 Сурков Д.А.)" (2018/19), 000045962	Утвержден			
Производственная практика	Кафедра 305			
Лист переутверждения по "РП практики "Производственная практика" 24.05.06  2017/2018" (2018/19), 000046421	Утвержден			
Производственно-технологическая практика	Кафедра 305			
Лист переутверждения по "РП по практике "Производственно-технологическая практика" (Копия 05.02.2018 16:29:37 Хайрнасов К.З.) (Копия 09.02.2018 10:54:, 000043509	Утвержден			
Лист переутверждения по "РП практики "Производственно-технологическая практика"" (2018/19), 000046428	Утвержден			
Резервирование технических систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Резервирование технических систем" каф.305 спец.24.05.06.С13 (2017/18)" (2018/19), 000038541	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
Лист переутверждения по "РП дисциплины "Системы автоматического управления воздушными летательными аппаратами" (23.10.2017 Березуев А.В.)" (2018/19), 000042444	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы автоматического управления космическими летательными аппаратами"  (2017/18)" (2018/19), 000044613	Утвержден			
Системы отображения информации систем управления ЛА	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы отбражения информации систем управления летательных аппаратов"  по 24.05.06  каф 305 (Белобжеский Л.А., 000038584	Утвержден			
Социология	Кафедра 514			
Лист переутверждения по "РП дисциплины "Социология"    (Копия 14.12.2017 12:59:09 Царицинская Т.Г.)" (2018/19), 000039116	Утвержден			
Специальные технологии 1 (обработка изображений)	Кафедра 305			
Лист переутверждения по "РП дисциплины "Специальные технологии 1 (обработка изображений)"  (24.05.06 - 2017/18)" (2018/19), 000044617	Утвержден			
Специальные технологии 2 (моделирование газовых сред)	Кафедра 305			
Лист переутверждения по "РП дисциплины "Специальные технологии 2 (моделирование газовых сред)" (2017/18)" (2018/19), 000044674	Утвержден			
Статистические технологии в измерительной технике	Кафедра 305			
Лист переутверждения по "РП дисциплины "Статистические технологии в измерительной технике" (2017/2018)" (2018/19), 000047506	Утвержден			
Теоретическая механика	Кафедра 802			
РП дисциплины "Теоретическая механика"   , 000099778	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
Лист переутверждения по "РП дисциплины "Теоретические основы электротехники и электроизмерений" (Копия 22.12.2012 15:58:10 Ковзан А.А.) (Копия 20.01.2, 000049232	Утвержден			
РП дисциплины "Теоретические основы электротехники и электроизмерений" (Копия 22.12.2012 15:58:10 Ковзан А.А.) (Копия 20.01.2014 1:11:32 Смирнов В.Н.), 000095293	В архиве			
Теория вероятностей и математическая статистика	Кафедра 804			
Лист переутверждения по "РП дисциплины "Теория вероятностей и математическая статистика" 24.05.06, каф. 301, 305, 705Б (2017)" (2018/19), 000042581	Утвержден			
Теория функции комплексного переменного	Кафедра 804			
РП дисциплины "Теория функций комплексного переменного" 2018/19 24.05.06 К301, 305, 705Б , 000090495	Утвержден			
Технология приборостроения	Кафедра 307			
РП дисциплины "Технология приборостроения" 18, 000085866	Утвержден			
УИРС	Кафедра 305			
Лист переутверждения по "РП дисциплины "УИРС" 2016/17 (каф.305, оч. спец-т 24.05.06) (Белобжеский Л.А.)" (2018/19), 000044325	Утвержден			
Учебная практика	Кафедра 305			
Лист переутверждения по "РП практики "Учебная практика"  (2018/19), 000045625	Утвержден			
Физика	Кафедра 801			
Нет РПД,				
Физическая культура (спортивные секции)	Кафедра 519			
Лист переутверждения по "РП дисциплины "Физическая культура"" (2018/19), 000049483	Утвержден			
Физические методы получения информации	Кафедра 305			
Лист переутверждения по "РП дисциплины "Физические методы получения информации" (Копия 03.05.2017 17:27:54 Захарян Р. (Копия 18.07.2017 12:51:12 Захар, 000043364	Утвержден			
Философия	Кафедра 517			
Лист переутверждения по "РП дисциплины "Философия" очного специалитета по 24.05.06 (унификация)" (2018/19), 000039670	Утвержден			
Химия	Кафедра 908			
Лист переутверждения по "РП дисциплины "Химия" очного специалитета по 24.05.06 (2014/15)" (2018/19), 000049404	Утвержден			
Цифровые сети систем управления летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Цифровые сети систем управления летательных аппаратов" (2017/18)" (2018/19), 000044675	Утвержден			
Численные методы	Кафедра 804			
Лист переутверждения по "РП дисциплины "Численные методы"  с лабами 301, 305, 705б 24.05.06" (2018/19), 000040886	Утвержден			
Экология	Кафедра 614			
Лист переутверждения по "РП дисциплины "Экология" (очн. спец. 24.05.06 каф. 301) (2017-18 Рыбников С.И.)" (2018/19), 000041144	Отправлен на доработку			
РП дисциплины "Экология"(24.05.06, 2018/2019), 000098892	Утвержден			
Экономика	Кафедра 507			
Лист переутверждения по "РП дисциплины "Экономика"  (Копия 25.11.2017 16:16:00 Ермолаева М.Г.)" (2018/19), 000040487	Утвержден			
Экономика отрасли	Кафедра 502			
Лист переутверждения по "РП дисциплины "Экономика отрасли" специалитет 2017" (2018/19), 000041445	Утвержден			
Эксплуатационная практика	Кафедра 305			
Лист переутверждения по "РП практики "Эксплуатационная практика" (24.05.06 - 2014/15)" (2018/19), 000044851	Утвержден			
Электроника	Кафедра 306			
Лист переутверждения по "РП дисциплины "Электроника"" (2018/19), 000039080	Утвержден			
Электрооборудование летательных апппаратов	Кафедра 310			
Лист переутверждения по "РП дисциплины "Электрооборудование летательных аппаратов" " (2018/19), 000042724	Утвержден			
Язык программирования C++	Кафедра 305			
Лист переутверждения по "РП дисциплины "Язык программирования С++" 24.05.06 2017/2018" (2018/19), 000046420	Утвержден			
Языки программирования	Кафедра 305			
Лист переутверждения по "РП дисциплины "Языки программирования" 24.05.06 2017/2018" (2018/19), 000046419	Утвержден			
УП очной аспирантуры 09.06.01 (05.13.01 Системный анализ, управление и обработка информации) 305 17/18 год	В архиве	18	7	000016132
Аксиоматическая теория систем управления	Кафедра 301			
Нет РПД,				
Государственный экзамен	Кафедра 305			
Нет РПД,				
Иностранный язык (аспирантура)	Кафедра И-12			
Нет РПД,				
Исследование операций в задачах формирования облика аэрокосмических систем	Кафедра 604			
Нет РПД,				
Исследование операций и эффективность аэрокосмических систем	Кафедра 604			
Нет РПД,				
История и философия науки	Кафедра 517			
Лист переутверждения по "РП дисциплины "История и философия науки" (Копия 10.02.2018 17:16:17 Чавкина А.Ш.) (Копия 15.02.2018 14:40:28 Чавкина А.Ш.)" , 000048791	Утвержден			
Математическое моделирование процессов функционирования интегрированных систем летательных аппаратов	Кафедра 704			
Лист переутверждения по "РП дисциплины "Математическое моделирование процессов функционирования интегрированных систем летательных аппаратов" (Копия 2, 000049518	В архиве			
Методы математического моделирования	Кафедра 604			
Лист переутверждения по "РП дисциплины "Методы математического моделирования"" (2018/19), 000048299	Утвержден			
Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)	Кафедра 305			
Нет РПД,				
Научно-исследовательская практика	Кафедра 305			
Нет РПД,				
Оптимизация процессов функционирования интегрированных систем летательных аппаратов	Кафедра 704			
Лист переутверждения по "РП дисциплины "Оптимизация процессов функционирования интегрированных систем летательных аппаратов" (305)" (2018/19), 000049519	В архиве			
Основы подготовки диссертации	Кафедра 301			
РП дисциплины "Основы подготовки диссертации", 000113151	Утвержден			
Педагогическая практика	Кафедра 305			
Нет РПД,				
Представление научного доклада об основных результатах подготовленной научно-квалификационной работы (диссертации)	Кафедра 305			
Нет РПД,				
Психология и педагогика высшей школы	Кафедра 514			
РП дисциплины "Психология и педагогика высшей школы", 000111863	Утвержден			
Системный анализ	Кафедра 604			
Лист переутверждения по "РП дисциплины "Системный анализ"" (2018/19), 000048302	Утвержден			
Системный анализ, управление и обработка информации	Кафедра 305			
Нет РПД,				
Теория динамических систем	Кафедра 301			
Нет РПД,				
УП очной аспирантуры 24.06.01  (05.07.09 Динамика, баллистика, управление движением летательных аппаратов) 18/19год (каф.305)	Утвержден	16	8	000016133
Государственный экзамен	Кафедра 305			
Нет РПД,				
Динамика, баллистика, управление движением летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Динамика, баллистика, управление движением летательных аппаратов" (2017/18)" (2018/19), 000049422	Отправлен на доработку			
Иностранный язык (аспирантура)	Кафедра И-12			
Нет РПД,				
История и философия науки	Кафедра 517			
Лист переутверждения по "РП дисциплины "История и философия науки" (Копия 10.02.2018 17:16:17 Чавкина А.Ш.) (Копия 15.02.2018 14:23:54 Чавкина А.Ш.)" , 000048792	Утвержден			
Методы искусственного интеллекта в авиационной и ракетно-космической технике	Кафедра 106			
Нет РПД,				
Методы математического моделирования	Кафедра 604			
Лист переутверждения по "РП дисциплины "Методы математического моделирования"" (2018/19), 000048295	Утвержден			
Методы наведения	Кафедра 604			
Нет РПД,				
Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)	Кафедра 305			
Нет РПД,				
Научно-исследовательская практика	Кафедра 305			
Лист переутверждения по "РП практики "Научно-исследовательская практика" " (2018/19), 000049418	Отправлен на доработку			
Основы подготовки диссертации	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы подготовки диссертации" (очн. асп. 24.06.01-2017/18, каф. 301)" (2018/19), 000048887	Утвержден			
Педагогическая практика	Кафедра 305			
Лист переутверждения по "РП практики "Педагогическая практика" (2017/18) " (2018/19), 000049411	Отправлен на доработку			
Представление научного доклада об основных результатах подготовленной научно-квалификационной работы (диссертации)	Кафедра 305			
Нет РПД,				
Психология и педагогика высшей школы	Кафедра 514			
РП дисциплины "Психология и педагогика высшей школы" , 000111859	Утвержден			
Синтез программ управления движения ЛА	Кафедра 604			
Нет РПД,				
Системный анализ	Кафедра 604			
РП дисциплины "Системный анализ", 000114035	Утвержден			
Системы управления аэрокосмическими ЛА	Кафедра 106			
Нет РПД,				
УП очной аспирантуры 27.06.01 (05.11.16 Информационно-измерительные и управляющие системы) 17/18 год (305 каф.)	Отправлен на согласование	18	13	000016131
Государственный экзамен	Кафедра 305			
Нет РПД,				
Иностранный язык (аспирантура)	Кафедра И-12			
РП дисциплины "Иностранный язык (аспирантура)" (оч.27.06.01 (05.11.16 Информационно-измерительные и управляющие системы) 17/18 год (305 каф.), 000115265	Утвержден			
Информационно-измерительные и управляющие системы	Кафедра 305			
РП дисциплины "Информационно-измерительные и управляющие системы"  (Копия 08.11.2018 15:30:08 Кошелев Б.В.), 000115903	Утвержден			
История и философия науки	Кафедра 517			
Лист переутверждения по "РП дисциплины "История и философия науки" (Копия 10.02.2018 17:16:17 Чавкина А.Ш.) (Копия 15.02.2018 15:55:07 Чавкина А.Ш.)" , 000048786	Утвержден			
Комплексирование подсистем измерительно-вычислительных комплексов	Кафедра 305			
РП дисциплины "Комплексирование подсистем измерительно-вычислительных комплексов" , 000114436	Утвержден			
Контроль, диагностика и идентификация информационно-измерительных и управляющих систем	Кафедра 301			
РП дисциплины "Контроль, диагностика и идентификация информационно-измерительных и управляющих систем", 000115004	Утвержден			
Математические методы обработки результатов измерений	Кафедра 308			
РП дисциплины "Математические методы обработки результатов измерений"   (Копия 07.10.2018 22:03:18 Склеймин Ю.Б., 000114137	Утвержден			
Методы и технические средства получения измерительной информации в управляющих системах	Кафедра 301			
РП дисциплины "Методы и технические средства получения измерительной информации в управляющих системах", 000115014	Утвержден			
Методы математического моделирования	Кафедра 604			
Нет РПД,				
Методы обработки изображений и распознавания образов	Кафедра 308			
Нет РПД,				
Моделирование, идентификация и оптимизация при обработке информации для управления подвижными объектами	Кафедра 305			
РП дисциплины "Моделирование, идентификация и оптимизация при обработке информации для управления подвижными объектами", 000114435	Утвержден			
Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)	Кафедра 305			
РП научных исследований "Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)" 17/18 год (305 каф.) (Копия , 000116043	Отправлен на утверждение			
Научно-исследовательская практика	Кафедра 305			
РПП "Научно-исследовательская практика" Аспирантура 05.13.01 (2018/19) каф. 305 , 000114434	Утвержден			
Основы подготовки диссертации	Кафедра 301			
РП дисциплины "Основы подготовки диссертации", 000113155	Утвержден			
Педагогическая практика	Кафедра 305			
РПП "Педагогическая практика" Аспирантура 05.13.01 (2018/19)  каф. 305 , 000114437	Утвержден			
Представление научного доклада об основных результатах подготовленной научно-квалификационной работы (диссертации)	Кафедра 305			
Нет РПД,				
Психология и педагогика высшей школы	Кафедра 514			
РП дисциплины "Психология и педагогика высшей школы" , 000112002	Утвержден			
Системный анализ	Кафедра 604			
Нет РПД,				
УП очной аспирантуры по 12.06.01 (05.11.03 Приборы навигации)  2018/19 305	Утвержден	16	11	000016060
Государственный экзамен	Кафедра 305			
Нет РПД,				
Датчики первичной навигационной информации	Кафедра 305			
РП дисциплины "Датчики первичной навигационной информации", 000114356	Утвержден			
Иностранный язык (аспирантура)	Кафедра И-12			
РП дисциплины "Иностранный язык (аспирантура)" оч.12.06.01 (05.11.03 Приборы навигации)каф.305 2018/19, 000115270	Утвержден			
История и философия науки	Кафедра 517			
Лист переутверждения по "РП дисциплины "История и философия науки" (Копия 10.02.2018 17:16:17 Чавкина А.Ш.) (Копия 15.02.2018 16:01:23 Чавкина А.Ш.)" , 000048784	Утвержден			
Комплексирование измерительно-управляющих навигационных приборов и систем	Кафедра 305			
РП дисциплины "Комплексирование измерительно-управляющих навигационных приборов и систем"  , 000114198	Утвержден			
Методы математического моделирования	Кафедра 604			
Нет РПД,				
Метрология, испытания и надежность навигационных приборов	Кафедра 305			
РП дисциплины "Метрология, испытания и надежность навигационных приборов" (Копия 09.10.2018 18:36:02 Мельников В.Е.), 000114357	Утвержден			
Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)	Кафедра 305			
РП научных исследований "Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)"  (Копия 10.09.2018 16:37:27 , 000110385	Отправлен на утверждение			
Научно-исследовательская практика	Кафедра 305			
РПП "Научно-исследовательская практика" Аспирантура 05.13.01 (2017/18) каф. 305:, 000114358	Утвержден			
Новые информационные технологии в пилотажно-навигационных комплексах	Кафедра 305			
Нет РПД,				
Основы подготовки диссертации	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы подготовки диссертации" (очн. асп. 12.06.01-2017/18, каф. 301)" (2018/19), 000048884	Утвержден			
Педагогическая практика	Кафедра 305			
РП практики "Педагогическая практика"  (Копия 26.09.2018 14:50:26 Мельников В.Е.), 000112797	Утвержден			
